Username,Tweet ID,Tweet,Favourites Count,Retweet Count
RealSaltLife,1465686048357425155,"An ocean breeze puts a mind at ease..
Live #salty 🌊

#Saltlife #ocean #beach #fishing #tuesdayvibe… https://t.co/qv1pnGA7k3",113,68
latoyajackson,1465757961251287041,"How cute are they!

#tuesdayvibe #life #love #pets https://t.co/AiuF5Y0oO6",328,57
SHRTampa,1465772629239885830,Look who stopped by #hardrocktampa. @WWE World Champion and Tampa's own @WWEBigE! It was a pleasure having you.… https://t.co/w2fq2xEeV8,203,26
tsrtcmdoffice,1468174622541574144,"Be Responsible, Help #RoadAccident victims &amp; become #GoodSamaritan 
జర భద్రం #shortfilm by Kamalakar Ejjagiri… https://t.co/oAy38UGZEd",122,92
WangariMaathai,1468093169585774593,“We owe it to ourselves and to the next generation to conserve the environment so that we can bequeath our children… https://t.co/uUjSBm8Y38,46,17
ShobhnaYadava,1468045135262875651,"Simple Rule for Tension free Life:
When We have Choices, Lets Choose the Best...
When We have No Choice !
Lets Do O… https://t.co/eZT1C1KU5A",189,22
HarshBisaria,1468054360395431940,"""Never bend your head. Always hold it high. Look the world straight in the eye."" - Helen Keller. #tuesdayvibe… https://t.co/ZtYuagqkJJ",36,26
CSCegov_,1468120403331600384,"PM SVANidhi Scheme Through CSCs and HDFC...

Incentive To CSCs (Per Application) For Sourcing Of Application For HD… https://t.co/nIIquOnSgl",68,17
Nyksindia,1468093436146241539,"This #TipsTuesday, we present you with an incredible way to conserve resources and progress toward a more sustainab… https://t.co/Qogpl6CNzV",24,14
AlanaKStewart,1468132632739209218,"My spiritual roots are planted in God, helping me weather life’s storms. I am flexible as I confront challenges. I… https://t.co/oiD56dvgXJ",108,11
SatlokChannel,1465583851351068674,"What is the Benefit of Chanting Gayatri Mantra?

To know, must read the sacred book ""Gyan Ganga"" by Sant Rampal Ji… https://t.co/BzrumzEwEq",2315,2261
LisaEvers,1468188105941389322,"Good morning!
“Trust the process of life to be there for you as you move forward, and start believing helpful peopl… https://t.co/UKoTOCeTSo",21,6
IamAnitaBhat,1468131897855262721,"""Let your faith
be bigger than your 
Fears""
#GoodAfternoon
#tuesdayvibe
#tuesdaymotivations
#Tuesday https://t.co/LTgz2H39MH",227,6
tsrtcmdoffice,1465551609123930115,Donating blood for 25th time at #TSRTC #MegaBloodDonationCamp in MGBS. I sincerely Appeal all the public to come fo… https://t.co/AQtXrOlu9i,568,121
DrAmirKhanGP,1465563631127609344,"Morning!

Chilly mornings, the snow still visible in the distance, patches of glass like ice on the lake

That time… https://t.co/Ua2pzCviay",1679,47
palkisu,1465571277201035264,"“I have a dream, a song to sing
To help me cope, with anything
If you see the wonder, of a fairy tale
You can take… https://t.co/tKn9yOMQZz",819,54
RealSaltLife,1465686048357425155,"An ocean breeze puts a mind at ease..
Live #salty 🌊

#Saltlife #ocean #beach #fishing #tuesdayvibe… https://t.co/qv1pnGA7k3",113,68
Nyksindia,1465547928034893830,"Take risks in your life. If you win, you can lead, if you lose, you can guide.  
-Swami Vivekananda… https://t.co/RD84i3WKLz",59,34
ShobhnaYadava,1468045135262875651,"Simple Rule for Tension free Life:
When We have Choices, Lets Choose the Best...
When We have No Choice !
Lets Do O… https://t.co/eZT1C1KU5A",189,22
HariPrriya6,1468093131333668865,"Saying hello with yellow 🙋🏻‍♀️🥰

#tuesdayvibe #Yellove #TuesdayFeeling https://t.co/MUWat0r0UQ",614,26
LetsGo_Bo5,1468201367474950144,"Adversity is inevitable.

Adversity is necessary.

Progress isn’t always pleasant. Let the struggles make you stron… https://t.co/DbaKmFZ7RR",49,9
CSCegov_,1468120403331600384,"PM SVANidhi Scheme Through CSCs and HDFC...

Incentive To CSCs (Per Application) For Sourcing Of Application For HD… https://t.co/nIIquOnSgl",68,17
WindyWilson88,1468065896275091459,Who we got in that SW corner of IRELAND - Cork; Clare; Limerick; Tipperary and Waterford areas ??? (which means DO… https://t.co/3Um5iL3CaC,117,10
cleanganganmcg,1468082885735292937,"Theme for this year's summit is “River Resource Allocation” for sustainable river management.

Register at:… https://t.co/ch0PDjxJuL",17,4
supriyasahuias,1465497352165228548,"Some sunshine at last 🌞

#Chennairains #TuesdayFeeling https://t.co/Ki6FMAMtxU",1367,45
HashtagRoundup,1468219358749024265,#ThingsYouShouldNeverSay is this week's @FeelGoodFrolics hosted by @tweetfeelsgood @KyraSpears @quickbear… https://t.co/9tC42sbEAA,10,9
bigmacher,1468220044261969938,"I've never listened to Jeff's podcast @JeffDwoskinShow 

 #ThingsYouShouldNeverSay",12,7
narendramodi,1467914212168982531,I warmly thank H.E. President Putin for his visit to India. We exchanged very useful ideas for expanding our strate… https://t.co/Af1I4g6P1Y,48336,7670
RepSwalwell,1467855082637115400,Kevin McCarthy was caught on tape saying Putin pays Trump. https://t.co/zLqoKBSo1A,13924,3460
AdityaRajKaul,1467923423770804225,Prime Minister @narendramodi today gifted Agate bowls of Gujarat to President Putin which are extracted from hills… https://t.co/lu8wdlOnAh,6595,785
