Username,Tweet ID,Creation Date,Tweet
1future,1334380061894586368,2020-12-03 06:12:52+00:00,RT @RollingStone: Roddy Ricch and Future: Musicians on Musicians https://t.co/aKVdk8rpys
1future,1328790194703699970,2020-11-17 20:00:44+00:00,OVER YOUR HEAD 📽 THE MOVIE https://t.co/z0dCmuZwfH
1future,1328787558201954307,2020-11-17 19:50:16+00:00,🏆🏆🏆🏆🏆🏆 https://t.co/BVZu6mcV0j
1future,1328787314156441600,2020-11-17 19:49:18+00:00,RT @RapCaviar: PLUTO X BABY PLUTO DELUXE 😈 @1future and @LILUZIVERT just added 6 more songs to their collab album. Listen here: https://t.c…
1future,1328751481210740739,2020-11-17 17:26:54+00:00,https://t.co/VunUmMioG2 https://t.co/RifUcghPow
1future,1327486504545837057,2020-11-14 05:40:20+00:00,Im on the level yo bitch feed me breakfast she tie my shoes she doing my nails #PLUTO
1future,1327485751596961792,2020-11-14 05:37:21+00:00,Everyday life is a movie premiere
1future,1327484894931415041,2020-11-14 05:33:57+00:00,Moment of clarity
1future,1327483650473033728,2020-11-14 05:29:00+00:00,BOUT TO BE PRESSURE 🤧
1future,1327482717026467840,2020-11-14 05:25:17+00:00,RT @LILUZIVERT: Crazy thing is me and @1future about 2 drop again 🤦🏾‍♂️🔥
1future,1327481096020185094,2020-11-14 05:18:51+00:00,Bought a Bad Bitch
1future,1327480866650525696,2020-11-14 05:17:56+00:00,Niggas ain’t solid as they claim.
1future,1327467119299022848,2020-11-14 04:23:19+00:00,Marni on Marni on Marni on Marni on me.
1future,1327466302701617154,2020-11-14 04:20:04+00:00,Lullaby
1future,1327365265890283521,2020-11-13 21:38:35+00:00,PLUTO X BABY PLUTO
1future,1327192315027402757,2020-11-13 10:11:20+00:00,Thank You always
1future,1327179022380503042,2020-11-13 09:18:31+00:00,No matter how u look at it today or... either way LEGENDARY #plutoxbabypluto
1future,1327178376134742020,2020-11-13 09:15:57+00:00,Delivered a complete project 16/16
1future,1327140354831896577,2020-11-13 06:44:52+00:00,"RT @XXL: SWISH
SWISH
SWISH
SWISH
SWISH
SWISH
SWISH
SWISH
SWISH
SWISH

Pluto and Baby Pluto goin’ crazy 😤😤"
1future,1327140324725100547,2020-11-13 06:44:45+00:00,RT @MarkTanTheGOAT: NO MISSES ON PLUTO X BABY PLUTO https://t.co/uqNky3jk91
1future,1327140285931982857,2020-11-13 06:44:35+00:00,RT @XXL: Pluto and Baby Pluto floatin’ on this tape like https://t.co/nZUPej1ZBQ
1future,1327139920926961666,2020-11-13 06:43:08+00:00,REAL BABY PLUTO 🚀
1future,1327139916619378688,2020-11-13 06:43:07+00:00,RT @ConcretePeake: @XXL we listening to future and uzi tonight https://t.co/PdpUlBqUgB
1future,1327139799313096704,2020-11-13 06:42:39+00:00,RT @Isaiaha7957: Ion think my xbox can handle this future and uzi https://t.co/ugblfEdYIP
1future,1327139767084081153,2020-11-13 06:42:32+00:00,Plastic B!@$?
1future,1327139673257467906,2020-11-13 06:42:09+00:00,RT @DiliNdema: future and uzi come Friday the 13th
1future,1327139653967867904,2020-11-13 06:42:05+00:00,RT @goodgvlri: dis future and uzi boutta go crazy tn https://t.co/SagsQ7weA0
1future,1327139637630996480,2020-11-13 06:42:01+00:00,"RT @SidelineDuggs: Future and Uzi on Pluto x Baby Pluto 🚀🪐

This duo goes crazy together 🤝 https://t.co/JvyoPUBK4d"
1future,1327139613954240512,2020-11-13 06:41:55+00:00,SALUTE BABY PLUTO
1future,1327139596191338504,2020-11-13 06:41:51+00:00,RT @Agradahene: Future and Uzi keepin the streets toxic https://t.co/QEiBM5v84H
1future,1327139519158771712,2020-11-13 06:41:33+00:00,"RT @billy_0602: Every time future and uzi link its fire, Pluto X Baby Pluto already an instant classic 💯🔥🌍 https://t.co/sIrI8n72uq"
1future,1327139502826139648,2020-11-13 06:41:29+00:00,RT @DatPiff: FUTURE AND UZI TONIGHT 🚨 https://t.co/z4I3aiiZqv
1future,1327117037563506689,2020-11-13 05:12:13+00:00,Bitch I drip  my sleep
1future,1327116753562906624,2020-11-13 05:11:05+00:00,RT @DoeBoyOfficial: PLUTO x BABY PLUTO FRIDAY 🦅 https://t.co/HbYp5p7ojf
1future,1327116727809945601,2020-11-13 05:10:59+00:00,"RT @HipHopDX: 🚨 Future and Lil Uzi Vert drop their joint album ""Pluto x Baby Pluto"" produced by DJ Esco 🚨

⏩🎧 LISTEN NOW: https://t.co/TVHw…"
1future,1327116683648126977,2020-11-13 05:10:48+00:00,"RT @RapCaviar: PLUTO x BABY PLUTO 🦅☄️ 
@1future and @LILUZIVERT just dropped their collab album. Listen here: https://t.co/0db3fwfAXk https…"
1future,1327116627243134978,2020-11-13 05:10:35+00:00,🛸🛸🛸 https://t.co/LcvRCZQJoJ
1future,1327116583248998402,2020-11-13 05:10:24+00:00,"RT @PopCrave: .@LilUziVert &amp; @1Future have released their collaborative album, ‘Pluto x Baby Pluto.’ 🚀 

Stream:

https://t.co/LwG9cfXsLz"
1future,1327116527657742337,2020-11-13 05:10:11+00:00,RT @ComplexMusic: Stream @LILUZIVERT and @1future's collaborative project ‘Pluto x Baby Pluto’: https://t.co/qyqX2TuCtj https://t.co/DfcGu3…
1future,1327116415141343234,2020-11-13 05:09:44+00:00,"RT @XXL: PLUTO x BABY PLUTO IS HERE 🛸

LISTEN 🔊🔊🔊

https://t.co/5lxph9byMJ"
1future,1327116327258087427,2020-11-13 05:09:23+00:00,"RT @AppleMusic: Pluto x Baby Pluto 🤯
@1future x @LILUZIVERT.
Listen now: https://t.co/xPmlWJm1y5 https://t.co/VhA9AHxJL9"
1future,1327116245192347650,2020-11-13 05:09:04+00:00,RT @pitchfork: .@1Future and @LILUZIVERT’s new album Pluto x Baby Pluto is out now https://t.co/nXIfEbrkPW
1future,1327116224606724096,2020-11-13 05:08:59+00:00,I got stripes in these streets like Burberry
1future,1327115118803562496,2020-11-13 05:04:35+00:00,"PLUTO X BABY PLUTO OUT NOW 🛸🦅

https://t.co/NY40aUsmoI https://t.co/uTuYXclAOK"
1future,1327103230938132480,2020-11-13 04:17:21+00:00,"Yung niggas came frm the bottom hustling and handling bizness ,making millions...Ima forever salute you"
1future,1327097805643636737,2020-11-13 03:55:47+00:00,"FREEBANDZ RADIO 🦅 https://t.co/7hha7rlEmn
8PM PT / 11PM ET 👀👀👀 https://t.co/idjryCCahl"
1future,1327096980456214528,2020-11-13 03:52:31+00:00,FREEBANDZ RADIO @AppleMusic https://t.co/PYbcddD45a
1future,1327023980574871552,2020-11-12 23:02:26+00:00,https://t.co/1VNSkLow7D
1future,1327012863618256897,2020-11-12 22:18:16+00:00,She never been to Pluto
1future,1327010326521516033,2020-11-12 22:08:11+00:00,If u getting money u her type.
1future,1327009306923982849,2020-11-12 22:04:08+00:00,Go @shopfbg
1future,1327007013906288640,2020-11-12 21:55:01+00:00,Had to find away too get paid off my quotes. @shopfbg
1future,1327006662142668807,2020-11-12 21:53:37+00:00,All my tweets go viral that’s why ion do social media.
1future,1327005606125969414,2020-11-12 21:49:25+00:00,It’s billions on the table...MOB forever
1future,1327005017522442243,2020-11-12 21:47:05+00:00,Ain with that friendly shit dog...I rather fuck yo hoe
1future,1327001811740467200,2020-11-12 21:34:21+00:00,Where u was at when I was grinding?🤔
1future,1326983139789565959,2020-11-12 20:20:09+00:00,#NewProfilePic https://t.co/MPVmRgVcu0
1future,1326320623560355841,2020-11-11 00:27:33+00:00,BABY PLUTO &amp; DOE BEEZY 🦅 https://t.co/iaw61sCguH
1future,1326292616061792256,2020-11-10 22:36:15+00:00,RT @KingJames: ABSOLUTELY!!! 🗣🗣🗣OHHHH REAAAAALLLLLLYYY! Let’s Go lil bro!!! 🔥🔥🔥🔥🔥🔥🔥💪🏾💪🏾
1future,1326210052236189699,2020-11-10 17:08:10+00:00,NEVER GO AGAINST THE FAMILY.🤞🏽
1future,1325955576426352640,2020-11-10 00:16:59+00:00,KEEP YO FOOT ON THE GAS 🦅 https://t.co/zUYsq7utcJ
1future,1324863438426955777,2020-11-06 23:57:13+00:00,https://t.co/X4HhGzcRrq
1future,1324581741206642688,2020-11-06 05:17:51+00:00,DOE BOY GOT NOW 🦅 https://t.co/8xmLmkT69t
1future,1323704385139019779,2020-11-03 19:11:33+00:00,FBG x 808 MAFIA https://t.co/trBrpBweap
1future,1322801989261185025,2020-11-01 07:25:45+00:00,My YUNG NIGGA$ TWEAKIN’ @DoeBoyOfficial 🦅
1future,1322396246557024256,2020-10-31 04:33:28+00:00,TWEAKIN https://t.co/9sGTURqzeW
1future,1322256289918029825,2020-10-30 19:17:20+00:00,@BubbaWallace 👀
1future,1313899053986480135,2020-10-07 17:48:40+00:00,"RT @RapCaviar: FRANCHISE REMIX 🔥🌵
@trvisXX x @1future x @youngthug x @MIAuniverse. Listen here: https://t.co/ipT5t4vogU https://t.co/KhEYkP…"
1future,1312426964955942918,2020-10-03 16:19:06+00:00,@DoeBoyOfficial YESSIR
1future,1312426111335378945,2020-10-03 16:15:43+00:00,DOE BOY GOING CRAZY https://t.co/5BzeRwcWse
1future,1312052284428349447,2020-10-02 15:30:16+00:00,"RT @DoeBoyOfficial: “Yessirski” Out Now On YouTube!

#DemonsRUs Album Soon 😈⚰️🔨 https://t.co/juDlAUMG0x"
1future,1311427491102429185,2020-09-30 22:07:33+00:00,Ima always be true...
